date,open,high,low,close,volume,adj_close
2025-11-12,335.0,345.0,320.0,329.45,31273277,329.45
2025-11-13,316.6,326.0,316.0,320.75,12079524,320.75
2025-11-14,310.0,335.0,306.3,317.6,165519798,317.6
2025-11-17,321.8,325.5,313.0,322.6,17163624,322.6
2025-11-18,317.2,327.0,310.0,325.15,13458307,325.15
2025-11-19,320.05,333.0,318.0,325.3,12999201,325.3
2025-11-20,322.0,326.0,320.1,322.85,9883805,322.85
2025-11-21,321.05,325.2,317.05,324.1,6066926,324.1
2025-11-24,321.6,324.0,314.35,320.6,16657006,320.6
2025-11-25,314.0,320.0,310.05,317.85,7686623,317.85
2025-11-26,320.0,325.5,317.75,324.05,9984230,324.05
2025-11-27,322.5,347.7,322.0,343.9,22672738,343.9
2025-11-28,340.55,359.9,331.1,352.0,18549631,352.0
2025-12-01,352.45,365.0,351.15,359.05,12843866,359.05
2025-12-02,360.0,368.0,352.15,354.8,8297661,354.8
2025-12-03,354.0,362.25,346.5,360.4,11412231,360.4
2025-12-04,357.75,361.5,354.15,356.45,7199260,356.45
2025-12-05,355.0,361.45,349.35,359.55,6652749,359.55
2025-12-08,358.0,364.2,357.1,360.35,6936051,360.35
2025-12-09,357.1,381.95,353.5,373.1,16119717,373.1
2025-12-10,378.05,382.95,368.35,377.8,16089720,377.8
2025-12-11,378.2,379.9,370.15,372.8,9667951,372.8
2025-12-12,371.5,379.0,366.35,373.45,12391574,373.45
2025-12-15,372.5,379.15,365.2,377.95,7033258,377.95
2025-12-16,377.95,390.0,374.5,387.35,10329070,387.35
2025-12-17,389.0,397.5,383.55,386.9,10044939,386.9
2025-12-18,391.0,406.8,390.2,401.05,18688147,401.05
2025-12-19,402.05,403.3,385.25,394.35,22075008,394.35
2025-12-22,396.35,414.0,394.35,411.7,12081781,411.7
2025-12-23,412.85,428.2,412.5,426.1,13800012,426.1
2025-12-24,427.15,432.3,408.0,408.75,19626872,408.75
2025-12-26,410.0,416.5,403.4,408.65,9030231,408.65
2025-12-29,410.0,418.0,406.55,409.5,7173718,409.5
2025-12-30,409.95,415.5,406.0,409.65,6416425,409.65
2025-12-31,411.85,418.0,409.7,415.5,6269208,415.5
2026-01-01,419.2,430.0,417.55,427.75,10096081,427.75
2026-01-02,433.1,448.0,432.75,442.25,15267178,442.25
2026-01-05,433.85,437.8,422.5,426.45,15748095,426.45
2026-01-06,429.95,437.45,427.2,432.65,8271070,432.65
2026-01-07,435.0,440.65,430.15,435.75,13125259,435.75
2026-01-08,436.85,441.5,430.5,435.2,11209566,435.2
2026-01-09,431.0,446.15,428.2,431.55,15300641,431.55
2026-01-12,430.0,430.05,414.7,424.9,10323536,424.9
2026-01-13,425.3,432.5,422.15,424.15,7174148,424.15
2026-01-14,426.05,436.0,422.65,433.75,9765782,433.75
2026-01-15,433.75,433.75,433.75,433.75,0,433.75
2026-01-16,431.95,446.65,427.5,438.5,12641260,438.5
2026-01-19,442.0,451.2,434.5,441.4,11049623,441.4
2026-01-20,441.4,446.4,426.55,432.45,9845662,432.45
2026-01-21,431.35,449.55,421.1,434.85,13056494,434.85
2026-01-22,436.1,453.8,435.85,444.9,13509687,444.9
2026-01-23,446.95,456.4,439.35,449.2,11557765,449.2
2026-01-27,450.0,454.75,438.5,443.9,12074561,443.9
2026-01-28,450.0,470.25,448.0,467.95,12636077,467.95
2026-01-29,473.75,475.5,459.75,470.2,11679596,470.2
2026-01-30,461.0,485.4,450.55,458.5,15832762,458.5
2026-02-02,441.0,446.9,431.0,443.55,12182905,443.55
2026-02-03,470.0,479.7,451.25,457.95,14919486,457.95
2026-02-04,464.0,472.9,456.65,458.45,8203293,458.45
2026-02-05,461.6,465.75,454.0,455.9,4548779,455.9
2026-02-06,458.0,461.45,447.6,458.25,9348251,458.25
2026-02-09,460.0,472.95,456.8,466.8,9824389,466.8
2026-02-10,470.0,476.9,467.8,472.55,4679330,472.55
2026-02-11,488.0,497.8,479.3,487.2,19065592,487.2
2026-02-12,491.05,500.0,483.65,498.15,14236647,498.15
2026-02-13,494.0,498.9,481.55,483.75,7493260,483.75
2026-02-16,483.9,490.9,476.9,479.05,5127469,479.05
2026-02-17,482.45,491.0,479.3,489.75,6659240,489.75
2026-02-18,490.6,498.75,485.2,488.8,8289178,488.8
2026-02-19,489.0,490.0,470.0,474.5,5688844,474.5
2026-02-20,476.3,482.9,471.05,472.9,5475490,472.9
2026-02-23,478.95,485.8,471.5,479.8,5399290,479.8
2026-02-24,483.3,483.35,472.55,475.5,7967467,475.5
2026-02-25,478.0,482.95,474.3,479.85,7335673,479.85
2026-02-26,480.0,495.0,480.0,491.35,12183458,491.35
2026-02-27,495.0,509.0,491.55,505.3,19988897,505.3
2026-03-02,485.0,506.5,483.0,498.0,11533032,498.0
2026-03-04,490.0,492.0,466.05,470.75,12493327,470.75
2026-03-05,473.7,487.6,472.7,480.4,9588536,480.4
2026-03-06,485.0,492.15,471.05,474.25,10126110,474.25
2026-03-09,463.75,467.7,433.4,448.3,16269063,448.3
2026-03-10,458.2,470.65,455.3,459.15,11893074,459.15
2026-03-11,465.0,469.9,440.0,445.45,8944929,445.45
2026-03-12,440.95,446.9,425.0,443.55,12285760,443.55
2026-03-13,439.0,442.15,418.0,425.65,11971586,425.65
2026-03-16,420.0,442.0,415.8,437.6,7870236,437.6
2026-03-17,445.0,446.85,430.1,441.95,8804211,441.95
2026-03-18,445.0,451.6,438.65,447.65,8441099,447.65
2026-03-19,440.0,440.0,413.75,417.25,11182730,417.25
2026-03-20,423.8,424.0,415.0,419.65,12096032,419.65
2026-03-23,415.4,416.0,391.8,394.45,19403533,394.45
2026-03-24,413.65,420.8,404.6,415.7,14392515,415.7
2026-03-25,420.0,436.25,420.0,431.85,10647115,431.85
2026-03-27,426.0,437.0,407.1,427.6,69678556,427.6
2026-03-30,410.85,416.1,388.75,394.8,28762802,394.8
2026-04-01,414.5,417.85,391.0,396.05,17330457,396.05
2026-04-02,390.0,392.65,375.8,388.1,21090138,388.1
2026-04-06,388.95,396.85,382.55,391.3,9999061,391.3
2026-04-07,389.0,398.0,384.5,396.05,8996274,396.05
2026-04-08,413.4,445.95,409.55,434.05,34782882,434.05
2026-04-09,434.05,443.0,422.1,425.6,15265854,425.6
2026-04-10,433.0,446.25,430.35,444.55,15953966,444.55
2026-04-13,430.0,442.65,423.0,429.8,13939395,429.8
2026-04-15,442.3,446.0,433.1,435.2,11871430,435.2
2026-04-16,441.0,444.55,437.6,442.0,7784251,442.0
2026-04-17,438.05,445.4,435.7,439.1,8846833,439.1
2026-04-20,440.0,441.0,431.05,438.4,7247939,438.4
2026-04-21,438.4,449.0,437.5,442.55,7681395,442.55
2026-04-22,442.05,449.9,440.6,447.8,7580971,447.8
2026-04-23,447.75,448.5,430.2,431.85,8676219,431.85
2026-04-24,432.0,435.45,421.1,424.55,4514900,424.55
2026-04-27,425.8,428.1,419.0,420.75,5862709,420.75
2026-04-28,420.75,428.15,416.45,418.3,5942917,418.3
2026-04-29,424.0,427.95,414.1,416.95,7376675,416.95
2026-04-30,416.5,416.7,403.9,409.9,5846832,409.9
2026-05-01,409.9,409.9,409.9,409.9,0,409.9
2026-05-04,415.0,418.05,407.5,412.9,6526849,412.9
2026-05-05,412.0,413.25,404.5,406.55,4263070,406.55
2026-05-06,410.0,433.0,407.85,429.75,12359531,429.75
2026-05-07,432.0,437.8,428.55,434.05,7414254,434.05
2026-05-08,430.0,437.5,426.0,431.0,6852510,431.0
2026-05-11,425.5,425.5,410.0,411.0,6740611,411.0
2026-05-12,411.0,414.8,384.85,387.05,9709672,387.05
2026-05-13,388.25,392.85,378.2,384.25,13275144,384.25
2026-05-14,393.85,396.0,367.5,379.45,28749428,379.45
2026-05-15,378.0,390.65,376.0,377.95,10102864,377.95
2026-05-18,373.0,383.65,365.9,379.8,11420441,379.8
2026-05-19,381.0,383.3,371.55,378.65,9769947,378.65
2026-05-20,373.5,381.8,370.8,379.7,7046201,379.7
2026-05-21,386.7,388.5,378.8,379.9,7313286,379.9
2026-05-22,380.0,389.0,374.55,382.95,9762075,382.95
2026-05-25,386.0,399.35,386.0,395.65,11760967,395.65
2026-05-26,394.7,398.25,383.4,385.1,7730325,385.1
2026-05-27,386.95,391.8,378.5,383.85,6674566,383.85
2026-05-28,383.85,383.85,383.85,383.85,0,383.85
2026-05-29,387.45,391.65,377.05,379.5,21660601,379.5
2026-06-01,385.0,386.85,372.5,374.25,6033578,374.25
2026-06-02,373.0,376.25,367.15,370.55,6888352,370.55
2026-06-03,368.8,377.1,363.0,373.95,9637658,373.95
2026-06-04,373.95,387.95,371.5,373.6,9943282,373.6
2026-06-05,376.6,378.6,367.05,369.15,6072105,369.15
